subject_id_namespace	subject_local_id	role_id	taxonomy_id
https://www.metabolomicsworkbench.org/	SU000001	single organism	NCBI:txid3702
https://www.metabolomicsworkbench.org/	SU000003	single organism	NCBI:txid9606
https://www.metabolomicsworkbench.org/	SU000004	single organism	NCBI:txid10090
https://www.metabolomicsworkbench.org/	SU000005	single organism	NCBI:txid9606
https://www.metabolomicsworkbench.org/	SU000006	single organism	NCBI:txid10090
https://www.metabolomicsworkbench.org/	SU000007	single organism	NCBI:txid29760
https://www.metabolomicsworkbench.org/	SU000009	single organism	NCBI:txid39947
https://www.metabolomicsworkbench.org/	SU000011	single organism	NCBI:txid9606
https://www.metabolomicsworkbench.org/	SU000012	single organism	NCBI:txid9606
https://www.metabolomicsworkbench.org/	SU000013	single organism	NCBI:txid9606
https://www.metabolomicsworkbench.org/	SU000014	single organism	NCBI:txid3055
https://www.metabolomicsworkbench.org/	SU000015	single organism	NCBI:txid3702
https://www.metabolomicsworkbench.org/	SU000030	single organism	NCBI:txid10090
https://www.metabolomicsworkbench.org/	SU000031	single organism	NCBI:txid10090
https://www.metabolomicsworkbench.org/	SU000032	single organism	NCBI:txid9606
https://www.metabolomicsworkbench.org/	SU000033	single organism	NCBI:txid10116
https://www.metabolomicsworkbench.org/	SU000037	single organism	NCBI:txid9606
https://www.metabolomicsworkbench.org/	SU000039	single organism	NCBI:txid9606
https://www.metabolomicsworkbench.org/	SU000043	single organism	NCBI:txid10090
https://www.metabolomicsworkbench.org/	SU000044	single organism	NCBI:txid10090
https://www.metabolomicsworkbench.org/	SU000045	single organism	NCBI:txid10090
https://www.metabolomicsworkbench.org/	SU000046	single organism	NCBI:txid10090
https://www.metabolomicsworkbench.org/	SU000047	single organism	NCBI:txid10090
https://www.metabolomicsworkbench.org/	SU000048	single organism	NCBI:txid10090
https://www.metabolomicsworkbench.org/	SU000049	single organism	NCBI:txid10090
https://www.metabolomicsworkbench.org/	SU000050	single organism	NCBI:txid10090
https://www.metabolomicsworkbench.org/	SU000051	single organism	NCBI:txid10090
https://www.metabolomicsworkbench.org/	SU000052	single organism	NCBI:txid10090
https://www.metabolomicsworkbench.org/	SU000053	single organism	NCBI:txid10090
https://www.metabolomicsworkbench.org/	SU000054	single organism	NCBI:txid10090
https://www.metabolomicsworkbench.org/	SU000055	single organism	NCBI:txid10090
https://www.metabolomicsworkbench.org/	SU000056	single organism	NCBI:txid10090
https://www.metabolomicsworkbench.org/	SU000057	single organism	NCBI:txid6239
https://www.metabolomicsworkbench.org/	SU000058	single organism	NCBI:txid9606
https://www.metabolomicsworkbench.org/	SU000059	single organism	NCBI:txid9606
https://www.metabolomicsworkbench.org/	SU000061	single organism	NCBI:txid9606
https://www.metabolomicsworkbench.org/	SU000062	single organism	NCBI:txid9606
https://www.metabolomicsworkbench.org/	SU000063	single organism	NCBI:txid9606
https://www.metabolomicsworkbench.org/	SU000064	single organism	NCBI:txid9606
https://www.metabolomicsworkbench.org/	SU000065	single organism	NCBI:txid9606
https://www.metabolomicsworkbench.org/	SU000066	single organism	NCBI:txid9716
https://www.metabolomicsworkbench.org/	SU000068	single organism	NCBI:txid9606
https://www.metabolomicsworkbench.org/	SU000069	single organism	NCBI:txid9606
https://www.metabolomicsworkbench.org/	SU000073	single organism	NCBI:txid9606
https://www.metabolomicsworkbench.org/	SU000074	single organism	NCBI:txid10090
https://www.metabolomicsworkbench.org/	SU000075	single organism	NCBI:txid10090
https://www.metabolomicsworkbench.org/	SU000076	single organism	NCBI:txid10090
https://www.metabolomicsworkbench.org/	SU000077	single organism	NCBI:txid9606
https://www.metabolomicsworkbench.org/	SU000080	single organism	NCBI:txid9606
https://www.metabolomicsworkbench.org/	SU000081	single organism	NCBI:txid9606
https://www.metabolomicsworkbench.org/	SU000082	single organism	NCBI:txid9606
https://www.metabolomicsworkbench.org/	SU000084	single organism	NCBI:txid9606
https://www.metabolomicsworkbench.org/	SU000088	single organism	NCBI:txid10090
https://www.metabolomicsworkbench.org/	SU000089	single organism	NCBI:txid10090
https://www.metabolomicsworkbench.org/	SU000090	single organism	NCBI:txid10090
https://www.metabolomicsworkbench.org/	SU000091	single organism	NCBI:txid9541
https://www.metabolomicsworkbench.org/	SU000092	single organism	NCBI:txid9541
https://www.metabolomicsworkbench.org/	SU000093	single organism	NCBI:txid10090
https://www.metabolomicsworkbench.org/	SU000094	single organism	NCBI:txid10090
https://www.metabolomicsworkbench.org/	SU000095	single organism	NCBI:txid9606
https://www.metabolomicsworkbench.org/	SU000096	single organism	NCBI:txid9606
https://www.metabolomicsworkbench.org/	SU000100	single organism	NCBI:txid9606
https://www.metabolomicsworkbench.org/	SU000101	single organism	NCBI:txid9606
https://www.metabolomicsworkbench.org/	SU000102	single organism	NCBI:txid10090
https://www.metabolomicsworkbench.org/	SU000103	single organism	NCBI:txid10090
https://www.metabolomicsworkbench.org/	SU000104	single organism	NCBI:txid90371
https://www.metabolomicsworkbench.org/	SU000106	single organism	NCBI:txid9606
https://www.metabolomicsworkbench.org/	SU000108	single organism	NCBI:txid9606
https://www.metabolomicsworkbench.org/	SU000109	single organism	NCBI:txid10090
https://www.metabolomicsworkbench.org/	SU000110	single organism	NCBI:txid9606
https://www.metabolomicsworkbench.org/	SU000111	single organism	NCBI:txid9606
https://www.metabolomicsworkbench.org/	SU000112	single organism	NCBI:txid9606
https://www.metabolomicsworkbench.org/	SU000114	single organism	NCBI:txid10090
https://www.metabolomicsworkbench.org/	SU000115	single organism	NCBI:txid9606
https://www.metabolomicsworkbench.org/	SU000116	single organism	NCBI:txid7227
https://www.metabolomicsworkbench.org/	SU000117	single organism	NCBI:txid6239
https://www.metabolomicsworkbench.org/	SU000118	single organism	NCBI:txid10090
https://www.metabolomicsworkbench.org/	SU000119	single organism	NCBI:txid6239
https://www.metabolomicsworkbench.org/	SU000121	single organism	NCBI:txid7227
https://www.metabolomicsworkbench.org/	SU000122	single organism	NCBI:txid6239
https://www.metabolomicsworkbench.org/	SU000123	single organism	NCBI:txid9606
https://www.metabolomicsworkbench.org/	SU000124	single organism	NCBI:txid9606
https://www.metabolomicsworkbench.org/	SU000125	single organism	NCBI:txid9606
https://www.metabolomicsworkbench.org/	SU000126	single organism	NCBI:txid9716
https://www.metabolomicsworkbench.org/	SU000129	single organism	NCBI:txid9606
