dataset_uuid,Cell Ontology ID,Cell Type,Count,Total Count,Percentage
fe0ded5fc0355c95239f9c040dd31e99,CL:1001109,Kidney.kidney loop of Henle cortical thick ascending limb epithelial cell,1421,3000,47.37
fe0ded5fc0355c95239f9c040dd31e99,CL:1001108,Kidney.kidney loop of Henle medullary thick ascending limb epithelial cell,776,3000,25.87
fe0ded5fc0355c95239f9c040dd31e99,CL:4030012,Kidney.kidney loop of Henle short descending thin limb epithelial cell,150,3000,5.0
fe0ded5fc0355c95239f9c040dd31e99,CL:1001107,Kidney.kidney loop of Henle thin ascending limb epithelial cell,139,3000,4.63
fe0ded5fc0355c95239f9c040dd31e99,CL:1000714,Kidney.kidney cortex collecting duct principal cell,131,3000,4.37
fe0ded5fc0355c95239f9c040dd31e99,CL:4030013,Kidney.kidney loop of Henle long descending thin limb outer medulla epithelial cell,54,3000,1.8
fe0ded5fc0355c95239f9c040dd31e99,CL:1000452,Kidney.parietal epithelial cell,46,3000,1.53
fe0ded5fc0355c95239f9c040dd31e99,CL:1001285,Kidney.vasa recta descending limb cell,41,3000,1.37
fe0ded5fc0355c95239f9c040dd31e99,CL:0000057,Kidney.kidney interstitial fibroblast,39,3000,1.3
fe0ded5fc0355c95239f9c040dd31e99,CL:1000716,Kidney.kidney outer medulla collecting duct principal cell,32,3000,1.07
fe0ded5fc0355c95239f9c040dd31e99,CL:4030022,Kidney.renal medullary fibroblast,32,3000,1.07
fe0ded5fc0355c95239f9c040dd31e99,CL:1000717,Kidney.kidney outer medulla collecting duct intercalated cell,26,3000,0.87
fe0ded5fc0355c95239f9c040dd31e99,CL:1001131,Kidney.vasa recta ascending limb cell,22,3000,0.73
fe0ded5fc0355c95239f9c040dd31e99,CL:1000718,Kidney.kidney inner medulla collecting duct principal cell,22,3000,0.73
fe0ded5fc0355c95239f9c040dd31e99,CL:1001033,Kidney.peritubular capillary endothelial cell,17,3000,0.57
fe0ded5fc0355c95239f9c040dd31e99,CL:1001318,Kidney.renal interstitial pericyte,17,3000,0.57
fe0ded5fc0355c95239f9c040dd31e99,CL:0000650,Kidney.mesangial cell,15,3000,0.5
fe0ded5fc0355c95239f9c040dd31e99,CL:4030011,Kidney.epithelial cell of proximal tubule segment 3,7,3000,0.23
