sex,race,cause_of_death,age_group,age_years,donor_count
,,,,,499
Female,,,,,282
Male,,,,,209
Unknown,,,,,8
,American Indian or Alaska native,,,,2
,Asian,,,,25
,Black or African American,,,,108
,Native Hawaiian or Other Pacific Islander,,,,1
,Other Race,,,,5
,Unknown,,,,79
,White,,,,279
,,Anoxia,,,28
,,Asphyxiation,,,2
,,Cardiovascular,,,3
,,Cerebral edema,,,2
,,Cerebrovascular accident,,,20
,,Gunshot wound,,,2
,,Head trauma,,,23
,,Traumatic injury,,,3
,,,00-9,,29
,,,10-19,,32
,,,20-29,,88
,,,30-39,,90
,,,40-49,,57
,,,50-59,,78
,,,60-69,,70
,,,70-79,,43
,,,80-89,,10
,,,90-99,,2
,,,,0,21
,,,,10,7
,,,,15,13
,,,,20,35
,,,,25,48
,,,,30,44
,,,,35,46
,,,,40,38
,,,,45,28
,,,,5,7
,,,,50,24
,,,,55,48
,,,,60,32
,,,,65,44
,,,,70,26
,,,,75,19
,,,,80,14
,,,,85,3
,,,,90,2
Female,American Indian or Alaska native,,,,1
Female,Asian,,,,19
Female,Black or African American,,,,58
Female,Native Hawaiian or Other Pacific Islander,,,,1
Female,Other Race,,,,4
Female,Unknown,,,,48
Female,White,,,,151
Male,American Indian or Alaska native,,,,1
Male,Asian,,,,6
Male,Black or African American,,,,49
Male,Other Race,,,,1
Male,Unknown,,,,26
Male,White,,,,126
Unknown,Black or African American,,,,1
Unknown,Unknown,,,,5
Unknown,White,,,,2
Female,,Anoxia,,,17
Female,,Cardiovascular,,,3
Female,,Cerebral edema,,,2
Female,,Cerebrovascular accident,,,7
Female,,Head trauma,,,4
Male,,Anoxia,,,11
Male,,Asphyxiation,,,2
Male,,Cerebrovascular accident,,,13
Male,,Gunshot wound,,,2
Male,,Head trauma,,,19
Male,,Traumatic injury,,,3
Female,,,00-9,,18
Female,,,10-19,,11
Female,,,20-29,,62
Female,,,30-39,,65
Female,,,40-49,,30
Female,,,50-59,,37
Female,,,60-69,,32
Female,,,70-79,,21
Female,,,80-89,,5
Female,,,90-99,,1
Male,,,00-9,,6
Male,,,10-19,,21
Male,,,20-29,,26
Male,,,30-39,,25
Male,,,40-49,,26
Male,,,50-59,,40
Male,,,60-69,,37
Male,,,70-79,,22
Male,,,80-89,,5
Male,,,90-99,,1
Unknown,,,00-9,,5
Unknown,,,40-49,,1
Unknown,,,50-59,,1
Unknown,,,60-69,,1
Female,,,,0,13
Female,,,,10,3
Female,,,,15,5
Female,,,,20,16
Female,,,,25,35
Female,,,,30,33
Female,,,,35,36
Female,,,,40,25
Female,,,,45,13
Female,,,,5,5
Female,,,,50,10
Female,,,,55,24
Female,,,,60,14
Female,,,,65,19
Female,,,,70,6
Female,,,,75,16
Female,,,,80,7
Female,,,,85,1
Female,,,,90,1
Male,,,,0,3
Male,,,,10,4
Male,,,,15,8
Male,,,,20,19
Male,,,,25,13
Male,,,,30,11
Male,,,,35,10
Male,,,,40,12
Male,,,,45,15
Male,,,,5,2
Male,,,,50,14
Male,,,,55,24
Male,,,,60,17
Male,,,,65,24
Male,,,,70,20
Male,,,,75,3
Male,,,,80,7
Male,,,,85,2
Male,,,,90,1
Unknown,,,,0,5
Unknown,,,,40,1
Unknown,,,,60,1
Unknown,,,,65,1
,Black or African American,Anoxia,,,7
,Black or African American,Cardiovascular,,,1
,Black or African American,Cerebrovascular accident,,,5
,Black or African American,Head trauma,,,7
,Other Race,Cerebrovascular accident,,,2
,Unknown,Asphyxiation,,,1
,Unknown,Gunshot wound,,,1
,Unknown,Head trauma,,,2
,Unknown,Traumatic injury,,,1
,White,Anoxia,,,21
,White,Asphyxiation,,,1
,White,Cardiovascular,,,2
