cnt,period_start_month,class_display,age_at_visit,gender,race_display,ethnicity_display
109745,,,,,,
103231,,ambulatory,,,,
101429,,,,,,not hispanic or latino
100310,,,,,white,
95372,,ambulatory,,,,not hispanic or latino
94210,,ambulatory,,,white,
92534,,,,,white,not hispanic or latino
86865,,ambulatory,,,white,not hispanic or latino
55886,,,,male,,
53859,,,,female,,
52427,,ambulatory,,male,,
50826,,,,male,,not hispanic or latino
50804,,ambulatory,,female,,
50603,,,,female,,not hispanic or latino
50470,,,,male,white,
49840,,,,female,white,
47755,,ambulatory,,female,,not hispanic or latino
47617,,ambulatory,,male,,not hispanic or latino
47244,,ambulatory,,male,white,
46966,,ambulatory,,female,white,
46791,,,,female,white,not hispanic or latino
45743,,,,male,white,not hispanic or latino
44114,,ambulatory,,female,white,not hispanic or latino
42751,,ambulatory,,male,white,not hispanic or latino
8316,,,,,,hispanic or latino
7859,,ambulatory,,,,hispanic or latino
7776,,,,,white,hispanic or latino
7345,,ambulatory,,,white,hispanic or latino
5588,,,,,black or african american,
5346,,ambulatory,,,black or african american,
5153,,,,,black or african american,not hispanic or latino
5060,,,,male,,hispanic or latino
4932,,ambulatory,,,black or african american,not hispanic or latino
4810,,ambulatory,,male,,hispanic or latino
4727,,,,male,white,hispanic or latino
4493,,ambulatory,,male,white,hispanic or latino
4262,,emergency,,,,
3992,,emergency,,,white,
3966,,emergency,,,,not hispanic or latino
3715,,emergency,,,white,not hispanic or latino
3518,,,,male,black or african american,
3373,,ambulatory,,male,black or african american,
3256,,,,female,,hispanic or latino
3185,,,,male,black or african american,not hispanic or latino
3056,,ambulatory,,male,black or african american,not hispanic or latino
3049,,,,female,white,hispanic or latino
3049,,ambulatory,,female,,hispanic or latino
2852,,ambulatory,,female,white,hispanic or latino
2342,,emergency,,male,,
2251,,,1,,,
2208,,ambulatory,1,,,
2194,,emergency,,male,,not hispanic or latino
2192,,emergency,,male,white,
2146,,,0,,,
2126,,ambulatory,0,,,
2082,,,1,,,not hispanic or latino
2071,,,42,,,
2070,,,,female,black or african american,
2056,,emergency,,male,white,not hispanic or latino
2046,,ambulatory,1,,,not hispanic or latino
2028,,,50,,,
2009,,ambulatory,42,,,
2006,,,1,,white,
1999,,,53,,,
1996,,,55,,,
1988,,,51,,,
1983,,,54,,,
1973,,ambulatory,,female,black or african american,
1971,,,60,,,
1969,,ambulatory,1,,white,
1968,,,,female,black or african american,not hispanic or latino
1967,,,42,,,not hispanic or latino
1967,,,0,,,not hispanic or latino
1948,,ambulatory,0,,,not hispanic or latino
1946,,,52,,,
1931,,,56,,,
1929,,,59,,,
1927,,ambulatory,50,,,
1922,,,50,,,not hispanic or latino
1921,,ambulatory,55,,,
1920,,emergency,,female,,
1916,,,55,,,not hispanic or latino
1913,,,53,,,not hispanic or latino
1912,,ambulatory,42,,,not hispanic or latino
1911,,,60,,white,
1911,,,0,,white,
1909,,,54,,,not hispanic or latino
1894,,ambulatory,0,,white,
1888,,ambulatory,54,,,
1883,,,41,,,
1881,,ambulatory,60,,,
1880,,,44,,,
1877,,,51,,,not hispanic or latino
1876,,ambulatory,,female,black or african american,not hispanic or latino
1876,,ambulatory,53,,,
1870,,,52,,,not hispanic or latino
1867,,,60,,,not hispanic or latino
1865,,,59,,,not hispanic or latino
1862,,,1,,white,not hispanic or latino
1862,,ambulatory,51,,,
1861,,,56,,,not hispanic or latino
1859,,ambulatory,56,,,
1855,,ambulatory,59,,,
1843,,ambulatory,55,,,not hispanic or latino
1841,,,49,,,
1830,,ambulatory,1,,white,not hispanic or latino
1825,,ambulatory,50,,,not hispanic or latino
1822,,ambulatory,60,,white,
1819,,ambulatory,54,,,not hispanic or latino
1813,,,55,,white,
1811,,,60,,white,not hispanic or latino
1810,,ambulatory,41,,,
1807,,ambulatory,44,,,
1804,,,59,,white,
1801,,ambulatory,52,,,
1800,,emergency,,female,white,
1797,,ambulatory,53,,,not hispanic or latino
1795,,,44,,,not hispanic or latino
1793,,,62,,,
1793,,,41,,,not hispanic or latino
1793,,ambulatory,56,,,not hispanic or latino
1792,,ambulatory,59,,,not hispanic or latino
1785,,,61,,,
1784,,ambulatory,60,,,not hispanic or latino
1774,,,49,,,not hispanic or latino
1773,,,50,,white,
1772,,emergency,,female,,not hispanic or latino
1767,,,57,,,
1761,,ambulatory,51,,,not hispanic or latino
1760,,ambulatory,49,,,
1756,,,54,,white,
1752,,,0,,white,not hispanic or latino
1749,,ambulatory,55,,white,
1747,,ambulatory,59,,white,
1746,,,51,,white,
1745,,,62,,white,
1743,,,59,,white,not hispanic or latino
1742,,,55,,white,not hispanic or latino
1741,,,44,,white,
1736,,ambulatory,0,,white,not hispanic or latino
1729,,ambulatory,60,,white,not hispanic or latino
1727,,ambulatory,52,,,not hispanic or latino
1725,,,48,,,
1725,,ambulatory,44,,,not hispanic or latino
1723,,ambulatory,41,,,not hispanic or latino
1721,,,61,,white,
1712,,inpatient encounter,,,,
1711,,,43,,,
1711,,,40,,,
1709,,ambulatory,62,,,
1706,,ambulatory,61,,,
1702,,,56,,white,
1701,,,61,,,not hispanic or latino
1698,,,62,,,not hispanic or latino
1696,,ambulatory,49,,,not hispanic or latino
1693,,,54,,white,not hispanic or latino
1691,,,50,,white,not hispanic or latino
1687,,ambulatory,59,,white,not hispanic or latino
1682,,ambulatory,57,,,
1681,,,52,,white,
1680,,,57,,,not hispanic or latino
1679,,ambulatory,55,,white,not hispanic or latino
1676,,ambulatory,50,,white,
1675,,,57,,white,
1673,,,46,,,
1672,,,53,,white,
1671,,ambulatory,44,,white,
1669,,ambulatory,62,,white,
1669,,ambulatory,54,,white,
1667,,,42,,white,
1662,,,44,,white,not hispanic or latino
1659,,emergency,,female,white,not hispanic or latino
1654,,,62,,white,not hispanic or latino
1647,,ambulatory,61,,white,
1645,,ambulatory,56,,white,
1644,,,61,,white,not hispanic or latino
1643,,,43,,,not hispanic or latino
1643,,ambulatory,48,,,
1641,,,51,,white,not hispanic or latino
1637,,,56,,white,not hispanic or latino
1631,,ambulatory,43,,,
1627,,,49,,white,
1627,,ambulatory,51,,white,
1626,,ambulatory,61,,,not hispanic or latino
1624,,ambulatory,62,,,not hispanic or latino
