species,island,sex,cnt,mean_body_mass_g
,,,333,4207
Adelie,,,146,3706
Chinstrap,,,68,3733
Gentoo,,,119,5092
,Torgersen,,47,3709
,Biscoe,,163,4719
,Dream,,123,3719
,,MALE,168,4546
,,FEMALE,165,3862
Adelie,Torgersen,,47,3709
Adelie,Biscoe,,44,3710
Adelie,Dream,,55,3701
Chinstrap,Dream,,68,3733
Gentoo,Biscoe,,119,5092
Adelie,,MALE,73,4043
Adelie,,FEMALE,73,3369
Chinstrap,,FEMALE,34,3527
Chinstrap,,MALE,34,3939
Gentoo,,FEMALE,58,4680
Gentoo,,MALE,61,5485
,Torgersen,MALE,23,4035
,Torgersen,FEMALE,24,3396
,Biscoe,FEMALE,80,4319
,Biscoe,MALE,83,5105
,Dream,FEMALE,61,3446
,Dream,MALE,62,3987
Adelie,Torgersen,MALE,23,4035
Adelie,Torgersen,FEMALE,24,3396
Adelie,Biscoe,FEMALE,22,3369
Adelie,Biscoe,MALE,22,4050
Adelie,Dream,FEMALE,27,3344
Adelie,Dream,MALE,28,4046
Chinstrap,Dream,FEMALE,34,3527
Chinstrap,Dream,MALE,34,3939
Gentoo,Biscoe,FEMALE,58,4680
Gentoo,Biscoe,MALE,61,5485
